Country,BeachName,BeachRegionalSea,BeachLength_m,BeachType,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100
,"5 Prom. Maurice Rouvier, 06230 Saint-Jean-Cap-Ferrat, France",Mediterranean Sea,350,,,45,,,,2,,20,,,,,,,,,,34,,,,,1,63,,,10,15,1,6,,5,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,3,,,,,68,,61,,,,,,,,,,,,7,,,,,
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,,,,,,,,,,,,,,,,,2,,1,,3,,180,,,,1,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,19,,,,,,,,,9,,,,,,,2,,,,,,2,1,,,,,
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,,,,,,,,,,,,,,,,,6,,,,,,129,,,5,1,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,13,,,,,,,,,2,5,1,,,,,,,,,,,,,2,,,,
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,3,1,,,,,2,,,,,,,,,,1,1,,,,,74,,,6,2,,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,,3,8,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,,1,,,,,,,,,,,,,,,,2,,,4,1,127,,,4,2,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,1,29,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
Switzerland,zürichsee_wollishofen_langendorfm,,50,Rocky,,,,,1,,,,,,,,,,,,,1,1,,,1,,7,,,1,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
France,"Plage du Port Morvan, France",North-east Atlantic Ocean,150,,,,,,3,,,5,,,8,,,,,,,18,,,,,2,35,,,12,,,,,,,,,,,,,,1,,,53,,,,42,,,,,,,,,,,,,1,,,,,,25,,1,,,,,,,,,,,,,,,,,
Spain,"La Ballenita, Santa Cruz de Tenerife",North-east Atlantic Ocean,100,Rocky,,1,,,2,,,,,,,,,,,,,9,,,,,,20,,,3,,,,,1,,,,,,,,,,,,2,1,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
France,"378 Chemin de Chibau Berria, 64500 Saint-Jean-de-Luz, France",North-east Atlantic Ocean,150,,,5,,,2,3,,1,,,,,,,,,,40,,,,,1,20,,,15,35,,1,,5,,,,,,,,,,,,10,,,,10,,,1,,,,,,,,,,,,,,,,50,,20,,,,,,,,,,,,,,,,,1
Belgium,Blankenberge,North-east Atlantic Ocean,4307,Sandy,,,1,,,,,,,,,,,,,,,7,,,,,,12,,,2,,,,1,13,,,,,,,,4,,,,118,,2,,,,,,,,,,,,,,,,,,6,9,,,,13,,,,,,,,,,,,3,,,,,
