
Country Name, Tons Exported, End in the Ocean, End in the beach, 

Country Name, Tons Exported, End in the Ocean, End in the beach, 
belgium, 12, 4.0, 8.0 
,,,,Tons to Germany, 2.0,From Netherlands, 7.0,
,,,,Tons to Denmark, 1.0,From United Kingdom, 2.0,
,,,,Tons to Norway, 1.0,From Haiti, 2.0,
,,,,Tons to Netherlands, 1.0,From United States, 1.0,
,,,,Tons to Sweden, 1.0,From France, 1.0,
,,,,Tons to Russia, 0.0,From Belgium, 0.0,
,,,,Tons to France, 0.0,
,,,,Tons to United Kingdom, 0.0,
,,,,Tons to Belgium, 0.0,
,,,,Tons to Canada, 0.0,
,,,,Tons to Spain, 0.0,
,,,,Tons to Svalbard and Jan Mayen, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
belize, 6306, 193.0, 6113.0 
,,,,Tons to Guatemala, 4283.0,From Venezuela, 2936.0,
,,,,Tons to Belize, 1144.0,From Honduras, 1731.0,
,,,,Tons to Honduras, 675.0,From Haiti, 1219.0,
,,,,Tons to United States, 6.0,From Belize, 1144.0,
,,,,Tons to Mexico, 5.0,From Trinidad and Tobago, 1055.0,
,,,,Tons to Spain, 1.0,From Colombia, 691.0,
,,,,Tons to France, 1.0,From Dominican Republic, 434.0,
,,,,,,From Jamaica, 319.0,
,,,,,,From Senegal, 155.0,
,,,,,,From Suriname, 125.0,
,,,,,,From Guyana, 119.0,
,,,,,,From Brazil, 93.0,
,,,,,,From Morocco, 89.0,
,,,,,,From Gambia, 81.0,
,,,,,,From Saint Lucia, 42.0,
,,,,,,From Mauritania, 25.0,
,,,,,,From Grenada, 23.0,
,,,,,,From Panama, 19.0,
,,,,,,From Cape Verde, 16.0,
,,,,,,From Angola, 15.0,
,,,,,,From Saint Vincent and the Grenadines, 15.0,
,,,,,,From Western Sahara, 14.0,
,,,,,,From Nicaragua, 11.0,
,,,,,,From Barbados, 11.0,
,,,,,,From Guinea-Bissau, 8.0,
,,,,,,From Mexico, 7.0,
,,,,,,From Dominica, 7.0,
,,,,,,From South Africa, 7.0,
,,,,,,From Costa Rica, 5.0,
,,,,,,From United States, 3.0,
,,,,,,From Republic of Congo, 3.0,
,,,,,,From Puerto Rico, 2.0,
,,,,,,From Spain, 1.0,
,,,,,,From Antigua and Barbuda, 1.0,
,,,,,,From Namibia, 1.0,
,,,,,,From Saint Kitts and Nevis, 1.0,
,,,,,,From French Guiana, 1.0,
,,,,,,From Martinique, 1.0,
,,,,,,From Democratic Republic of the Congo, 1.0,
,,,,,,From Guadeloupe, 0.0,
,,,,,,From Guinea, 0.0,
,,,,,,From Portugal, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
benin, 12660, 41.0, 12618.0 
,,,,Tons to Nigeria, 11758.0,From Ghana, 4493.0,
,,,,Tons to Benin, 746.0,From Togo, 2589.0,
,,,,Tons to Cameroon, 91.0,From Nigeria, 2014.0,
,,,,Tons to Gabon, 12.0,From Benin, 746.0,
,,,,Tons to Equatorial Guinea, 8.0,From Côte d'Ivoire, 14.0,
,,,,Tons to Togo, 2.0,From Angola, 8.0,
,,,,Tons to Ghana, 0.0,From Senegal, 3.0,
,,,,,,From Cape Verde, 1.0,
,,,,,,From Namibia, 0.0,
,,,,,,From Gambia, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
bosnia and herzegovina,,,,,,From Albania, 1.0,
,,,,,,From Croatia, 1.0,
,,,,,,From Montenegro, 1.0,
,,,,,,From Greece, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
brazil, 365897, 117727.0, 248170.0 
,,,,Tons to Brazil, 244396.0,From Brazil, 244396.0,
,,,,Tons to South Africa, 792.0,From South Africa, 1086.0,
,,,,Tons to Australia, 565.0,From Uruguay, 740.0,
,,,,Tons to Mozambique, 391.0,From Angola, 195.0,
,,,,Tons to Madagascar, 377.0,From Senegal, 111.0,
,,,,Tons to United States, 267.0,From Gambia, 73.0,
,,,,Tons to Argentina, 201.0,From Namibia, 43.0,
,,,,Tons to Uruguay, 167.0,From Argentina, 42.0,
,,,,Tons to Mexico, 110.0,From Mozambique, 42.0,
,,,,Tons to Belize, 93.0,From Indonesia, 40.0,
,,,,Tons to New Zealand, 86.0,From Mauritania, 20.0,
,,,,Tons to Cuba, 73.0,From Morocco, 14.0,
,,,,Tons to Dominican Republic, 63.0,From Guinea-Bissau, 9.0,
,,,,Tons to French Guiana, 55.0,From Philippines, 8.0,
,,,,Tons to Tanzania, 49.0,From Cape Verde, 6.0,
,,,,Tons to Indonesia, 49.0,From Western Sahara, 2.0,
,,,,Tons to Venezuela, 37.0,From India, 2.0,
,,,,Tons to Nicaragua, 32.0,From Guinea, 2.0,
,,,,Tons to Kenya, 27.0,From Madagascar, 2.0,
,,,,Tons to Costa Rica, 27.0,From Vietnam, 2.0,
,,,,Tons to Mauritius, 27.0,From Taiwan, 2.0,
,,,,Tons to Yemen, 24.0,From Papua New Guinea, 2.0,
,,,,Tons to Jamaica, 23.0,From Democratic Republic of the Congo, 2.0,
,,,,Tons to Guyana, 22.0,From Comoros, 1.0,
,,,,Tons to Panama, 21.0,From São Tomé and Príncipe, 1.0,
,,,,Tons to Trinidad and Tobago, 19.0,From United States, 1.0,
,,,,Tons to Myanmar, 17.0,From Haiti, 0.0,
,,,,Tons to Guatemala, 16.0,From Thailand, 0.0,
,,,,Tons to Honduras, 15.0,From Timor-Leste, 0.0,
,,,,Tons to Martinique, 13.0,From Reunion, 0.0,
,,,,Tons to Suriname, 12.0,From Vanuatu, 0.0,
,,,,Tons to Reunion, 11.0,From Malaysia, 0.0,
,,,,Tons to Chile, 10.0,
,,,,Tons to Namibia, 9.0,
,,,,Tons to India, 8.0,
,,,,Tons to Somalia, 7.0,
,,,,Tons to Papua New Guinea, 7.0,
,,,,Tons to Liberia, 6.0,
,,,,Tons to France, 6.0,
,,,,Tons to Saudi Arabia, 6.0,
,,,,Tons to Guadeloupe, 6.0,
,,,,Tons to Sri Lanka, 5.0,
,,,,Tons to Sierra Leone, 3.0,
,,,,Tons to Colombia, 3.0,
,,,,Tons to Bahamas, 3.0,
,,,,Tons to Sudan, 2.0,
,,,,Tons to Ireland, 2.0,
,,,,Tons to Oman, 2.0,
,,,,Tons to Haiti, 2.0,
,,,,Tons to Thailand, 2.0,
,,,,Tons to Bangladesh, 1.0,
,,,,Tons to Guinea, 1.0,
,,,,Tons to Dominica, 1.0,
,,,,Tons to New Caledonia, 0.0,
,,,,Tons to United Kingdom, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
british virgin islands,,,,,,From Portugal, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
brunei, 503, 151.0, 352.0 
,,,,Tons to Indonesia, 146.0,From Malaysia, 62.0,
,,,,Tons to Malaysia, 61.0,From Philippines, 44.0,
,,,,Tons to Philippines, 47.0,From China, 31.0,
,,,,Tons to Vietnam, 24.0,From Indonesia, 7.0,
,,,,Tons to China, 16.0,From Vietnam, 4.0,
,,,,Tons to Thailand, 10.0,From Brunei, 2.0,
,,,,Tons to Taiwan, 7.0,From Mexico, 1.0,
,,,,Tons to Madagascar, 6.0,From Papua New Guinea, 0.0,
,,,,Tons to Myanmar, 6.0,
,,,,Tons to Tanzania, 6.0,
,,,,Tons to Mozambique, 5.0,
,,,,Tons to Bangladesh, 2.0,
,,,,Tons to Somalia, 2.0,
,,,,Tons to India, 2.0,
,,,,Tons to Sri Lanka, 2.0,
,,,,Tons to Brunei, 2.0,
,,,,Tons to Kenya, 2.0,
,,,,Tons to Japan, 2.0,
,,,,Tons to Australia, 1.0,
,,,,Tons to Papua New Guinea, 1.0,
,,,,Tons to Yemen, 1.0,
,,,,Tons to Fiji, 1.0,
,,,,Tons to United States, 1.0,
,,,,Tons to Laos, 0.0,
,,,,Tons to Cambodia, 0.0,
,,,,Tons to South Africa, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
bulgaria, 67, 18.0, 50.0 
,,,,Tons to Turkey, 21.0,From Turkey, 3638.0,
,,,,Tons to Bulgaria, 17.0,From Ukraine, 1428.0,
,,,,Tons to Egypt, 5.0,From Romania, 191.0,
,,,,Tons to Greece, 3.0,From Russia, 67.0,
,,,,Tons to Russia, 2.0,From Georgia, 20.0,
,,,,Tons to Georgia, 1.0,From Bulgaria, 17.0,
,,,,Tons to Romania, 1.0,From Greece, 1.0,
,,,,Tons to Libya, 1.0,
,,,,Tons to Cyprus, 0.0,
,,,,Tons to Lebanon, 0.0,
,,,,Tons to Ukraine, 0.0,
,,,,Tons to Israel, 0.0,
,,,,Tons to Syria, 0.0,

Country Name, Tons Exported, End in the Ocean, End in the beach, 
cabo verde, 865, 424.0, 440.0 
,,,,Tons to United States, 91.0,From Morocco, 10.0,
,,,,Tons to Mexico, 56.0,From Senegal, 8.0,
,,,,Tons to Cuba, 46.0,From Mauritania, 4.0,
,,,,Tons to Dominican Republic, 39.0,From Cape Verde, 4.0,
,,,,Tons to Guinea, 26.0,From United States, 1.0,
,,,,Tons to Belize, 16.0,From Gambia, 0.0,
,,,,Tons to Venezuela, 15.0,From Western Sahara, 0.0,
,,,,Tons to France, 14.0,
,,,,Tons to Guatemala, 14.0,
,,,,Tons to Guyana, 12.0,
,,,,Tons to Sierra Leone, 9.0,
,,,,Tons to United Kingdom, 9.0,
,,,,Tons to Nicaragua, 8.0,
