""
"Indicator name: Beach litter originating from national land-based sources ends in the beach (tonnes)  Data Source: Florida State University(https://FSU.edu), Center for Ocean-Atmospheric Prediction Studies (COAPS)(https://www.coaps.fsu.edu/our-expertise/global-model-for-marine-litter)"
"Description: The indicator includes 14.1.1a Index of coastal eutrophication (ICEP) and 14.1.1b Plastic debris density. SDG 14.1.1a and SDG 14.1.1b will described as two indicators. Across the 14.1.1a and 14.1.1b, two levels are proposed: "
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Haiti","2019","84237.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Haiti","2020","81969.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Haiti","2021","84912.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Honduras","2017","25202.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Honduras","2018","25652.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Honduras","2019","26859.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Honduras","2020","28464.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Honduras","2021","28311.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Iceland","2017","9.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Iceland","2018","14.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Iceland","2019","15.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Iceland","2020","19.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Iceland","2021","16.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","India","2017","861003.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","India","2018","928154.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","India","2019","966437.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","India","2020","990595.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","India","2021","1056001.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Indonesia","2017","512163.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Indonesia","2018","559428.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Indonesia","2019","599014.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Indonesia","2020","514480.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Indonesia","2021","535163.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Iran (Islamic Republic of)","2017","9780.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Iran (Islamic Republic of)","2018","10281.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Iran (Islamic Republic of)","2019","10750.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Iran (Islamic Republic of)","2020","11172.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Iran (Islamic Republic of)","2021","11269.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ireland","2017","543.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ireland","2018","551.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ireland","2019","508.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ireland","2020","556.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Ireland","2021","506.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Israel","2017","2416.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Israel","2018","2263.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Israel","2019","2368.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Israel","2020","2558.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Israel","2021","2598.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Italy","2017","5748.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Italy","2018","5627.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Italy","2019","5930.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Italy","2020","6808.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Italy","2021","6761.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Jamaica","2017","15047.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Jamaica","2018","15283.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Jamaica","2019","16260.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Jamaica","2020","16467.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Jamaica","2021","16981.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Japan","2017","3182.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Japan","2018","3126.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Japan","2019","3208.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Japan","2020","3077.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Japan","2021","2931.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Kenya","2017","7266.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Kenya","2018","7669.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Kenya","2019","7941.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Kenya","2020","7403.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Kenya","2021","8055.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Kiribati","2017","16.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Kiribati","2018","16.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Kiribati","2019","16.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Kiribati","2020","16.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Kiribati","2021","18.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Kuwait","2017","11706.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Kuwait","2018","12490.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Kuwait","2019","12740.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Kuwait","2020","13079.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Kuwait","2021","13141.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Latvia","2017","196.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Latvia","2018","183.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Latvia","2019","211.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Latvia","2020","213.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Latvia","2021","199.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Lebanon","2017","19799.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Lebanon","2018","19062.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Lebanon","2019","19419.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Lebanon","2020","21415.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Lebanon","2021","21964.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Liberia","2017","13202.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Liberia","2018","13685.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Liberia","2019","14220.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Liberia","2020","14729.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Liberia","2021","15030.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Libya","2017","74196.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Libya","2018","72565.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Libya","2019","73477.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Libya","2020","81878.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Libya","2021","80149.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Lithuania","2017","70.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Lithuania","2018","61.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Lithuania","2019","72.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Lithuania","2020","72.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Lithuania","2021","70.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Madagascar","2017","1991.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Madagascar","2018","2108.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Madagascar","2019","2132.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Madagascar","2020","2247.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Madagascar","2021","2291.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Malaysia","2017","294932.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Malaysia","2018","321731.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Malaysia","2019","332752.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Malaysia","2020","328763.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Malaysia","2021","339437.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Maldives","2017","102.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Maldives","2018","108.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Maldives","2019","102.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Maldives","2020","95.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Maldives","2021","115.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Malta","2017","97.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Malta","2018","89.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Malta","2019","107.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Malta","2020","110.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Malta","2021","106.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mauritania","2017","2471.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mauritania","2018","2671.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mauritania","2019","2845.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mauritania","2020","2875.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mauritania","2021","3002.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mauritius","2017","50.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mauritius","2018","49.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mauritius","2019","53.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mauritius","2020","58.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mauritius","2021","57.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mexico","2017","29054.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mexico","2018","29349.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mexico","2019","31004.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mexico","2020","33514.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mexico","2021","35359.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Micronesia (Federated States of)","2017","148.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Micronesia (Federated States of)","2018","167.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Micronesia (Federated States of)","2019","167.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Micronesia (Federated States of)","2020","181.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Micronesia (Federated States of)","2021","183.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Montenegro","2017","1599.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Montenegro","2018","1768.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Montenegro","2019","1804.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Montenegro","2020","1928.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Montenegro","2021","1965.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Morocco","2017","36224.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Morocco","2018","38348.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Morocco","2019","44086.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Morocco","2020","42304.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Morocco","2021","44650.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mozambique","2017","67216.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mozambique","2018","68997.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mozambique","2019","72578.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mozambique","2020","73396.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Mozambique","2021","74006.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Myanmar","2017","186365.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Myanmar","2018","200820.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Myanmar","2019","209493.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Myanmar","2020","215575.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Myanmar","2021","230387.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Namibia","2017","334.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Namibia","2018","380.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Namibia","2019","387.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Namibia","2020","406.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Namibia","2021","435.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Netherlands","2017","7406.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Netherlands","2018","6135.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Netherlands","2019","6488.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Netherlands","2020","7261.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Netherlands","2021","7551.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","New Zealand","2017","115.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","New Zealand","2018","109.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","New Zealand","2019","109.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","New Zealand","2020","100.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","New Zealand","2021","85.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Nicaragua","2017","14843.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Nicaragua","2018","15511.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Nicaragua","2019","15199.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Nicaragua","2020","17465.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Nicaragua","2021","19107.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Nigeria","2017","456575.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Nigeria","2018","477534.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Nigeria","2019","496837.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Nigeria","2020","510822.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Nigeria","2021","517377.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Norway","2017","137.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Norway","2018","138.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Norway","2019","130.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Norway","2020","171.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Norway","2021","156.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Oman","2017","223.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Oman","2018","237.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Oman","2019","258.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Oman","2020","271.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Oman","2021","260.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Pakistan","2017","51192.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Pakistan","2018","54530.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Pakistan","2019","53640.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Pakistan","2020","56223.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Pakistan","2021","57441.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Palau","2017","37.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Palau","2018","37.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Palau","2019","41.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Palau","2020","53.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Palau","2021","47.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Panama","2017","14069.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Panama","2018","14750.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Panama","2019","16346.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Panama","2020","16575.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Panama","2021","17849.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Papua New Guinea","2017","31627.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Papua New Guinea","2018","33149.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Papua New Guinea","2019","36164.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Papua New Guinea","2020","38027.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Papua New Guinea","2021","37386.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Peru","2017","36114.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Peru","2018","37769.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Peru","2019","39863.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Peru","2020","40715.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Peru","2021","40264.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Philippines","2017","1416321.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Philippines","2018","1572329.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Philippines","2019","1695243.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Philippines","2020","1703846.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Philippines","2021","1631062.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Poland","2017","434.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Poland","2018","377.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Poland","2019","439.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Poland","2020","441.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Poland","2021","455.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Portugal","2017","477.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Portugal","2018","610.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Portugal","2019","702.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Portugal","2020","698.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Portugal","2021","648.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Qatar","2017","793.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Qatar","2018","832.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Qatar","2019","868.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Qatar","2020","890.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Qatar","2021","910.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Republic of Korea","2017","2739.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Republic of Korea","2018","2366.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Republic of Korea","2019","2865.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Republic of Korea","2020","3200.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Republic of Korea","2021","3406.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Romania","2017","1267.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Romania","2018","1971.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Romania","2019","1825.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Romania","2020","1972.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Romania","2021","1777.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Russian Federation","2017","19921.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Russian Federation","2018","20007.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Russian Federation","2019","20769.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Russian Federation","2020","22549.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Russian Federation","2021","21446.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saint Kitts and Nevis","2017","26.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saint Kitts and Nevis","2018","27.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saint Kitts and Nevis","2019","29.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saint Kitts and Nevis","2020","24.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saint Kitts and Nevis","2021","23.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saint Lucia","2017","1554.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saint Lucia","2018","1555.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saint Lucia","2019","1591.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saint Lucia","2020","1538.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saint Lucia","2021","1639.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saint Vincent and the Grenadines","2017","426.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saint Vincent and the Grenadines","2018","456.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saint Vincent and the Grenadines","2019","466.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saint Vincent and the Grenadines","2020","488.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saint Vincent and the Grenadines","2021","477.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Samoa","2017","753.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Samoa","2018","719.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Samoa","2019","809.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Samoa","2020","784.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Samoa","2021","788.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sao Tome and Principe","2017","1163.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sao Tome and Principe","2018","1174.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sao Tome and Principe","2019","1255.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sao Tome and Principe","2020","1283.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Sao Tome and Principe","2021","1332.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saudi Arabia","2017","3735.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saudi Arabia","2018","3931.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saudi Arabia","2019","4099.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saudi Arabia","2020","4199.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Saudi Arabia","2021","4377.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Senegal","2017","16530.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Senegal","2018","18402.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Senegal","2019","19569.00"
