BeachCountry,BeachName,BeachRegionalSea,BeachLength_m,BeachType,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100
France,"96 Chemin de la Pointe du siège, 14150 Ouistreham, France",North-east Atlantic Ocean,72,,,20.0,,,4.0,,,4.0,,,,,,,,,,100.0,,,,,,40.0,,,70.0,100.0,1.0,5.0,10.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,70.0,3.0,,,,,40.0,,100.0,,,,,,,,,,,,50.0,,,,,10.0
Italy,Piri Piri Maruggio (TA),Unknown,100,,,1.0,2.0,2.0,22.0,7.0,11.0,2.0,2.0,2.0,1.0,1.0,,1.0,,,,52.0,12.0,14.0,7.0,1.0,4.0,24.0,,1.0,2.0,,,16.0,,5.0,,,,,,3.0,,41.0,,,2.0,6.0,,,2.0,,3.0,,1.0,,6.0,,,,,,1.0,,6.0,4.0,,,,,36.0,26.0,97.0,18.0,,,,,,2.0,,,,1.0,29.0,1.0,,,,
Greece,Mikali (base),Mediterranean Sea,389,Pebbels,,17.0,,,52.0,44.0,,12.0,,,,,,,,,,128.0,,,,,,2.0,,,26.0,,,,,13.0,,,,,,,,,,,,34.0,,2.0,,,,,,,,,,,,,,,,,,25.0,97.0,,,,75.0,,,,,,,,,,,,,,,,,
Spain,Barceloneta beach,Mediterranean Sea,47,Other (mixed),,2.0,4.0,,2.0,5.0,,0.0,,,,,,,,,,50.0,,,,,,96.0,,,1.0,,,,4.0,158.0,,,,,,,,3.0,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,1.0,59.0,,,,2.0,,,,,,,,,,,,0.0,,,,,
France,"10 Rue de Mer Melen, 22610 Pleubian, France",North-east Atlantic Ocean,73,,,20.0,,,5.0,10.0,,10.0,,,,,,,,,,10.0,,,,,5.0,50.0,,,5.0,10.0,,5.0,1.0,1.0,,,,,,,,,,,,100.0,,,,50.0,,,1.0,,,,,,,,,,10.0,5.0,,,,,20.0,,100.0,,,,,,,,,,,,20.0,,,,,1.0
France,"1237 Route de la Barre, 40220 Tarnos, France",North-east Atlantic Ocean,750,,,,,,,,,46.0,,,,,,,,,,26.0,,,,,2.0,262.0,,,,18.0,1.0,,1.0,4.0,,,,,,,,,5.0,,,50.0,,,,5.0,,,20.0,,,,,,,,,,7.0,,,,,,222.0,,220.0,,,,,,,,,,,,3.0,,,,,1.0
Spain,"33 Musurieta Auzoa, 48650 Elexalde, Espagne",North-east Atlantic Ocean,81,,,118.0,22.0,,9.0,,,136.0,,,,,,,,,,19.0,,,,,,,,,,1.0,5.0,7.0,,1.0,,,,,,,,,,,,,,,,23.0,,,1.0,,,,,,,,,,,6.0,,,,,460.0,,12.0,,,,,,,,,,,,9.0,,,,,
,DF Malherbe,Unknown,187,Other (mixed),,,,,,,,,,,,,,,,,,4.0,,,,,,28.0,,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,
Italy,Torre San Marco Agropoli (SA),Unknown,100,,,,3.0,,16.0,20.0,5.0,,,,,,,,,2.0,2.0,,,13.0,,,3.0,13.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,1.0,,,,,15.0,,30.0,5.0,1.0,,,,,,,,,,3.0,,,,,
,Clevedon,North-east Atlantic Ocean,497,Sandy,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
