BeachCountry,BeachName,BeachRegionalSea,BeachLength_m,BeachType,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100
,"83 Rue de la Libert?, 71410 Sanvignes-les-Mines, France",Unknown,350,,,135.0,,,5.0,64.0,,11.0,,,3.0,,,,,,,316.0,,,,,2.0,860.0,,,211.0,3.0,,49.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,3.0,,,,,,,,,,,,3.0,,,,,2.0
Spain,"Protegida sector I, Barcelona",Mediterranean Sea,100,Other (mixed),,3.0,,,8.0,,1.0,2.0,,,1.0,1.0,,,,,,4.0,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,2.0,,,,,,1.0,,,3.0,1.0,,,,,,,,,4.0,,,,1.0,2.0,,,1.0,1.0
France,"cotentin surf club 14 bis boulevard Deveaud, 50340 Siouville-Hague, France",North-east Atlantic Ocean,71,,,,,,,10.0,,,,,,,,,,,,60.0,,,,,20.0,,,,20.0,50.0,10.0,,,,,,,,,,,,,,,200.0,,,,80.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,40.0,,,,,5.0
Spain,"Doniños, A Coruña",North-east Atlantic Ocean,100,Sandy,,2.0,,,,,,,,,,,,,,,,12.0,,,,,,27.0,,,15.0,,,,,11.0,,,,,,,,,,,,24.0,26.0,,,,,,9.0,,,,,,6.0,4.0,,,,,,4.0,,,2.0,,,,,,,,,,,,,,27.0,0.0,,,,
France,"32B Route du Collet, 44580 Les Moutiers-en-Retz, France",North-east Atlantic Ocean,350,,,69.0,,,,,,,,,24.0,,,,,,,,,,,,2.0,6.0,,,162.0,,1.0,3.0,8.0,,,,,,,,,,78.0,,,102.0,,,,14.0,,,,,,,,,,,,,7.0,,,,,,46.0,,,,,,,,,,,,,,1.0,,,,,
Romania,Mangalia sulphorous gulf,Black Sea,2097,Sandy,,5.0,5.0,,4.0,0.0,,2.0,,,,,,,,,,5.0,,20.0,,,,10.0,,,8.0,,,,10.0,15.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,15.0,,,,0.0,,,,,,,,,,,,0.0,,,,,
Switzerland,zuerichsee_richterswil_benkoem_2,,27,Rocky,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,
Switzerland,zuerichsee_richterswil_benkoem_2,,27,Rocky,,,,,,,,,,,,,,,,,,,,2.0,,,,6.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,1.0,,,,,,,,2.0,,,,2.0,,2.0,,,,
Switzerland,zuerichsee_richterswil_benkoem_2,,27,Rocky,,,1.0,,,,,,,,,,,,,,,2.0,,,2.0,3.0,,29.0,,,6.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,3.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,
Switzerland,zuerichsee_richterswil_benkoem_2,,27,Rocky,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,29.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,6.0,2.0,4.0,,,,,1.0,,4.0,,,,,,,,,,2.0
Switzerland,zuerichsee_richterswil_benkoem_2,,27,Rocky,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,4.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0,,,,,,,,,,
Switzerland,aare_solothurn_nguyena,,37,Other (mixed),,,,,,,,,,,,,,,,,,,,,,5.0,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,
France,"Ramonette Le Palais, 56360 Le Palais, France",North-east Atlantic Ocean,75,,,10.0,,,2.0,3.0,,40.0,,,,,,,,,,20.0,,,,,1.0,20.0,,,30.0,15.0,,,,12.0,,,,,,,,,,,,30.0,,,,8.0,,,,,,,,,,,,,,1.0,,,,,45.0,,27.0,,,,,,,,,,,,4.0,,,,,
Denmark,MSFD Nymindegab,North-east Atlantic Ocean,100,Sandy,1.0,4.0,5.0,,2.0,1.0,2.0,11.0,,,,,,1.0,,,,1.0,2.0,2.0,,2.0,,,,,3.0,,1.0,3.0,,2.0,,1.0,,1.0,,1.0,,,,,1.0,34.0,,2.0,,3.0,,,,,,,,2.0,4.0,38.0,,,,,,3.0,,,42.0,,5.0,,,,,,,,,,,,2.0,1.0,,,,
Denmark,MSFD Nymindegab,North-east Atlantic Ocean,100,Sandy,,,,,1.0,,,,,,,,,1.0,,,,,1.0,2.0,,,,5.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,26.0,,,,4.0,,,,,,,,,,2.0,,,,,,13.0,,,22.0,,19.0,,,,,,,,,,,,2.0,,,,,
,Chesil Cove,North-east Atlantic Ocean,441,Pebbels,,,,,5.0,2.0,1.0,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
,Chesil Cove,North-east Atlantic Ocean,441,Pebbels,,4.0,1.0,,69.0,,,14.0,,,2.0,,,,,,,62.0,,,4.0,,4.0,2.0,,1.0,35.0,,,10.0,1.0,26.0,,,4.0,,,4.0,,,,,,,,,,195.0,,,,,,,,,5.0,,,,4.0,,,1.0,,,,,82.0,,,,,,,,,,,,,,,,,5.0
France,"4 Place des Estagnots, 40510 Seignosse, France",North-east Atlantic Ocean,80,,,60.0,,,20.0,30.0,,10.0,,,,,,,,,,,,,,,20.0,20.0,,,40.0,,20.0,20.0,,,,,,,,,,,,,,40.0,,,,2.0,,,,,,,,,,,,,,,,,,,100.0,,800.0,,,,,,,,,,,,800.0,,,,,2.0
France,"29-31 Boulevard Albert 1er, 76600 Le Havre, France",North-east Atlantic Ocean,72,,,,,,2.0,1.0,,8.0,,,,,,,,,,30.0,,,,,5.0,200.0,,,,,1.0,4.0,,2.0,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,1.0,,,,,5.0,,,,,,,,,,,,,,,,,,,2.0
Netherlands,Zandvoort aan Zee,North-east Atlantic Ocean,2308,Sandy,,38.0,202.0,,,,,140.0,,,,,,,,,,72.0,,,,,,800.0,,,212.0,,,,,72.0,,,,,,,,,,,,156.0,,,,,,,,,,,,,,,,,,,,29.0,202.0,,,,,,,,,,,,,,,,,,,,,
Greece,Sophia Maneta,Mediterranean Sea,260400,Sandy,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4 Rue de Roux, 17440 Aytr?, France",North-east Atlantic Ocean,3000,,,200.0,,,5.0,38.0,,12.0,,,,,,,,,,100.0,,,,,1.0,60.0,,,50.0,120.0,1.0,50.0,,15.0,,,,,,,,,720.0,,,70.0,,,,1200.0,,,2.0,,,,,,,,,,,4.0,,,,,70.0,,15.0,,,,,,,,,,,,70.0,,,,,15.0
Germany,"Strand Elmenhorst, 18119 Elmenhorst, Allemagne",Baltic Sea,64,,,10.0,,,1.0,,,10.0,,,,,,,,,,5.0,,,,,,50.0,,,10.0,,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,6.0,,,,,,2.0,,20.0,,,,,,,,,,,,,,,,,
Slovenia,Strunjan MS Monitoring ,Mediterranean Sea,101,Pebbels,,7.0,,,1.0,,,7.0,,,,,,,,,,2.0,1.0,,3.0,5.0,,98.0,,,,1.0,,1.0,1.0,3.0,,,,,,,,15.0,,,1.0,9.0,,2.0,,,,,4.0,,,,,,1.0,2.0,,,1.0,,,,,,14.0,,16.0,,,,,,1.0,9.0,,,,1.0,7.0,,,,,
Slovenia,Strunjan MS Monitoring ,Mediterranean Sea,101,Pebbels,,,21.0,,2.0,1.0,,32.0,,,,,,,,,,7.0,2.0,5.0,1.0,11.0,,541.0,,1.0,,1.0,,3.0,,,,,,,,,,22.0,,,8.0,5.0,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,44.0,,16.0,,,,1.0,1.0,,1.0,,,,,7.0,,,,,5.0
Slovenia,Strunjan MS Monitoring ,Mediterranean Sea,101,Pebbels,,,17.0,,,,,11.0,,,,,,,,,,3.0,3.0,2.0,4.0,12.0,2.0,415.0,,,21.0,,1.0,4.0,,2.0,,,,,,,,9.0,,,,6.0,,,,1.0,,,10.0,,,,,,1.0,,1.0,,1.0,,,4.0,,,25.0,,20.0,,,,1.0,,,,,,,,8.0,,,,1.0,2.0
Slovenia,Strunjan MS Monitoring ,Mediterranean Sea,101,Pebbels,,25.0,,,1.0,,,,1.0,,,,,,,,,6.0,,,2.0,8.0,,244.0,,,16.0,,6.0,1.0,,,,,,,,,,5.0,,,,,,5.0,,,,,4.0,,,,,,1.0,,,,,,,,,,20.0,,5.0,,,,,,,,,,,,4.0,,,,,
Georgia,Tskaltsminda,Black Sea,31,Sandy,,18.0,,,61.0,46.0,11.0,1.0,,16.0,,3.0,,1.0,,,,65.0,7.0,10.0,4.0,,3.0,,3.0,,45.0,6.0,,4.0,2.0,8.0,,,,3.0,,,,,,,,8.0,,,,,,,,,1.0,,,,,5.0,,,2.0,9.0,,30.0,250.0,,127.0,,,,,,,,,13.0,,,,,4.0,4.0,,,7.0,8.0
Georgia,Tskaltsminda,Black Sea,31,Sandy,,,,,56.0,40.0,1.0,,,5.0,,1.0,,,,,,23.0,3.0,6.0,,,2.0,,1.0,,18.0,10.0,6.0,6.0,,5.0,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,125.0,14.0,60.0,,,,,,,1.0,,6.0,,,,,,,,,2.0,15.0
Slovenia,Seca 1 - Soline,Mediterranean Sea,1176,Other (mixed),,47.0,3.0,,7.0,6.0,,24.0,,,,,,,,,,20.0,,10.0,,4.0,2.0,137.0,,,,,,7.0,,1.0,,,,,,,,,,,,10.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,90.0,,27.0,,,,,,,,,,,,3.0,,,,,
Slovenia,Seca 1 - Soline,Mediterranean Sea,1176,Other (mixed),,50.0,,,8.0,15.0,,40.0,4.0,,,,,,,,,20.0,,,,7.0,3.0,72.0,,,,1.0,,,5.0,10.0,,,,2.0,,,,2.0,,,,,,,,,,,10.0,,,,,,,1.0,,,,,,,,,100.0,,50.0,,,,,,,,,,,,5.0,,,,,
France,"Unnamed Road, 76910, Criel-sur-Mer, France",North-east Atlantic Ocean,350,,,30.0,,,8.0,22.0,,15.0,,,2.0,,,,,,,40.0,,,,,,300.0,,,,2.0,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,40.0,,15.0,,,,,,,,,,,,,,,,,2.0
Greece,Kato Vervena - Paliochano,Mediterranean Sea,90,,,5.0,,,1.0,2.0,,,,,,,,,,,3.0,,,,1.0,,2.0,44.0,,,1.0,,,1.0,,4.0,,,,,,,,,,,,1.0,,,,,,,1.0,3.0,,,,,1.0,1.0,,,,,,,,,13.0,,1.0,,,,,,,2.0,,,,,,3.0,,1.0,,
Denmark,ghjj,North-east Atlantic Ocean,332,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,4.0,,,,,
Italy,"Spiaggia di Tordigliano, Vico Equense (NA)",Mediterranean Sea,100,,,10.0,1.0,,7.0,22.0,,1.0,2.0,1.0,,,,,,1.0,,12.0,4.0,,2.0,,,20.0,,,1.0,,2.0,4.0,1.0,1.0,,,,,,,,,,,,22.0,,,,1.0,,3.0,2.0,,5.0,,,1.0,,,,,,,,,,,18.0,,45.0,3.0,,,,,,3.0,,,,,3.0,,,,,
,"Unnamed Road, 40510 Seignosse, France",North-east Atlantic Ocean,150,,,154.0,,,11.0,16.0,,2.0,,,37.0,,,,,,,59.0,,,,,,2.0,,,6.0,4.0,,3.0,,5.0,,,,,,,,,1.0,,,,,,,139.0,,,,,,,,,,,,,4.0,,,,,,367.0,,9.0,,,,,,,,,,,,13.0,,,,,4.0
France,"64 Promenade de la Baie de Bon, 83350 Ramatuelle, France",Mediterranean Sea,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Route de la Fontaine Blanche, 78280 Guyancourt, France",Unknown,4000,,,10.0,,,20.0,5.0,,23.0,,,1.0,,,,,,,79.0,,,,,14.0,76.0,,,1.0,31.0,6.0,15.0,1.0,10.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,1.0,,,,,36.0,,2.0,,,,,,,,,,,,5.0,,,,,3.0
Spain,"Passeig Mar?tim de la Barceloneta, 10, 08003 Barcelona, Espagne",Mediterranean Sea,150,,,28.0,,,15.0,26.0,,,,,,,,,,,,30.0,,,,,,,,,26.0,,,18.0,,8.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
Switzerland,zulg_steffisburg_schmassmanne,,16,Other (mixed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,zulg_steffisburg_schmassmanne,,16,Other (mixed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,zulg_steffisburg_schmassmanne,,16,Other (mixed),,1.0,0.0,,1.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
Switzerland,zulg_steffisburg_schmassmanne,,16,Other (mixed),,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,zulg_steffisburg_schmassmanne,,16,Other (mixed),,2.0,2.0,,0.0,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
,"Konrad-Adenauer-Allee 59, 46049 Oberhausen, Allemagne",Unknown,2500,,,5.0,,,4.0,,,6.0,,,1.0,,,,,,,12.0,,,,,,650.0,,,44.0,2.0,,10.0,11.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Spain,"La Devesa, Valencia/València",Mediterranean Sea,100,Sandy,,1.0,,,4.0,,1.0,6.0,,,,,,,,,,13.0,,,,,,,,,10.0,,,,,3.0,,,,,,,,,,,,2.0,3.0,,,,,,,,1.0,,,,2.0,1.0,,,,,,1.0,,,9.0,,,,,,,,,,,,,,51.0,0.0,,,,
Italy,Foce Lato,Mediterranean Sea,102,,13.0,14.0,14.0,14.0,13.0,13.0,5.0,13.0,5.0,5.0,,,,1.0,2.0,1.0,,13.0,13.0,13.0,13.0,2.0,,,2.0,1.0,13.0,13.0,1.0,13.0,13.0,13.0,2.0,2.0,1.0,1.0,15.0,15.0,2.0,15.0,15.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,2.0,2.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,7.0,11.0,,,,1.0,
Romania,Mangalia sulphorous gulf,Black Sea,2097,Sandy,,0.0,2.0,,0.0,0.0,,0.0,,,,,,,,,,8.0,,,,,,150.0,,,2.0,,,,2.0,1.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,22.0,,,,0.0,,,,,,,,,,,,0.0,,,,,
Romania,Mangalia sulphorous gulf,Black Sea,2097,Sandy,,0.0,3.0,,4.0,0.0,,3.0,,,,,,,,,,7.0,,,,,,7.0,,,7.0,,,,5.0,8.0,,,,,,,,0.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,92.0,,,,0.0,,,,,,,,,,,,0.0,,,,,
Romania,Mangalia sulphorous gulf,Black Sea,2097,Sandy,,2.0,3.0,,0.0,0.0,,0.0,,,,,,,,,,10.0,,,,,,206.0,,,5.0,,,,7.0,6.0,,,,,,,,0.0,,,,4.0,,0.0,,,,,,,,,,,,,,,,,,0.0,12.0,,,,0.0,,,,,,,,,,,,3.0,,,,,
Ireland,Keel beach,North-east Atlantic Ocean,0,Sandy,,12.0,9.0,,4.0,21.0,,14.0,,,,,,,,,,26.0,,,,,,8.0,,,34.0,,,,,,,,,,,,,,,,,79.0,,28.0,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,
Italy,"Spiaggia di Talamone, Orbetello (GR)",Mediterranean Sea,100,,,,4.0,,26.0,,2.0,2.0,,2.0,1.0,,,,1.0,,,40.0,,,,,3.0,8.0,3.0,1.0,3.0,,2.0,16.0,8.0,,,,,2.0,,1.0,,1.0,,,12.0,25.0,,9.0,1.0,,,,15.0,,,1.0,,,10.0,,10.0,,2.0,3.0,,14.0,480.0,5.0,,,,,,,,,,,,,,,14.0,2.0,1.0,,2.0,1.0
Italy,Milazzo,Mediterranean Sea,99,,4.0,,,,4.0,4.0,,4.0,,,,,,,2.0,,,4.0,4.0,4.0,4.0,2.0,,,,,4.0,4.0,,4.0,4.0,4.0,1.0,1.0,1.0,1.0,,,2.0,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,,,,,13.0,1.0,1.0,1.0,2.0,,2.0,1.0,,,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,,2.0,3.0,13.0,,,1.0,,,
Denmark,MSFD Nymindegab,North-east Atlantic Ocean,100,Sandy,,,1.0,,6.0,,,1.0,,1.0,1.0,,,,,,,5.0,,3.0,3.0,,,,1.0,,8.0,,1.0,1.0,,3.0,,,,,,2.0,,,,,4.0,74.0,,3.0,,2.0,,,,,,,,,7.0,,,,2.0,,,6.0,,,47.0,,4.0,,,,,,,,,,,,3.0,,,,,
Denmark,MSFD Nymindegab,North-east Atlantic Ocean,100,Sandy,,2.0,1.0,,,2.0,,2.0,,1.0,,,,,,,,2.0,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,4.0,,2.0,,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,
Denmark,MSFD Nymindegab,North-east Atlantic Ocean,100,Sandy,,2.0,3.0,,3.0,1.0,3.0,4.0,1.0,,1.0,,,1.0,,,,1.0,,1.0,,,,1.0,,,3.0,,1.0,1.0,,,,1.0,,4.0,,,,,,,3.0,66.0,,,1.0,10.0,2.0,,,,,,,2.0,3.0,8.0,,,,,,2.0,,,20.0,1.0,7.0,,,,,,,,1.0,,,,4.0,,,,,1.0
Denmark,MSFD Nymindegab,North-east Atlantic Ocean,100,Sandy,,2.0,,,2.0,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,4.0,,,1.0,,,,,,,,1.0,,,,,1.0,22.0,,,,6.0,,,,,,,,,,1.0,,,1.0,,,8.0,,,25.0,,3.0,,,,,,,,,,,,2.0,,,,,
Switzerland,zuerichsee_richterswil_benkoem_2,,27,Rocky,,,25.0,,,,,,,,,,,,,,,,,4.0,1.0,,2.0,24.0,,,8.0,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,5.0,,,,,,,,,,10.0,,5.0,,,,,1.0,,,,,,,,,,,,
Switzerland,zuerichsee_richterswil_benkoem_2,,27,Rocky,,,,,,1.0,,,,,,,,,,,,3.0,,,2.0,1.0,1.0,60.0,,,5.0,1.0,,,,2.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,5.0,,,,,,,,,8.0,,5.0,,,,,,,4.0,,,,,,,,,,1.0
,"LE-495, 50, 24141 Cabrillanes, Le?n, Espagne",Unknown,750,,,76.0,,,21.0,3.0,,7.0,,,17.0,,,,,,,32.0,,,,,8.0,145.0,,,57.0,,,57.0,11.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,,1000.0,,,,,,,,,,,,,,7.0,,,,,
Denmark,Nr Lyngby,North-east Atlantic Ocean,403,Sandy,,0.0,48.0,,10.0,2.0,2.0,6.0,,,3.0,,,,,,2.0,8.0,2.0,42.0,29.0,,6.0,30.0,2.0,4.0,70.0,2.0,,14.0,5.0,0.0,,,,,,,,0.0,,,28.0,72.0,,0.0,,,,,,,,,,,,,,,8.0,6.0,,0.0,0.0,,112.0,,534.0,,,,,,,10.0,4.0,1.0,,,38.0,1.0,,,,
Slovenia,Strunjan MS Monitoring ,Mediterranean Sea,101,Pebbels,,4.0,7.0,18.0,,,,25.0,1.0,,,,,,,,,2.0,,1.0,1.0,,1.0,43.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,9.0,,,,,24.0,,,,,,,,,,,2.0,2.0,1.0,,,,3.0
Slovenia,Strunjan MS Monitoring ,Mediterranean Sea,101,Pebbels,,16.0,18.0,,,,,4.0,1.0,,,,,,,,,5.0,6.0,10.0,6.0,21.0,,217.0,1.0,1.0,24.0,3.0,,1.0,1.0,1.0,,,,,,1.0,,37.0,,,,6.0,,6.0,,,,,2.0,,,,,,2.0,,,,2.0,,,,,,46.0,,27.0,,,,2.0,6.0,,2.0,,,,1.0,12.0,,,1.0,,1.0
Russian Federation,Primorskiy,Black Sea,128,Sandy,,1.0,9.0,,,,,,,,,,,,,,,,,1.0,1.0,,,44.0,,,,1.0,3.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,1.0,,,,
Russian Federation,Primorskiy,Black Sea,128,Sandy,,,1.0,3.0,2.0,,,1.0,,,,,,,,,,4.0,,,,,,42.0,,,6.0,5.0,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,5.0,,,,
Russian Federation,Primorskiy,Black Sea,128,Sandy,,,7.0,2.0,,,,,,,,,,,,,,,,,,,,27.0,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,2.0,,,,
Denmark,Stevns 7,Baltic Sea,92,Pebbels,,,15.0,2.0,1.0,,,2.0,,,3.0,,,,,,,2.0,8.0,96.0,,,3.0,2.0,,,,,,,,,,,,,,,,,,,5.0,,,,,9.0,1.0,,,,,,,,,,,,3.0,2.0,,2.0,6.0,,,,,,,,,,,4.0,3.0,,,,,,,,,
France,"14 Rue de la Carrière, 56610 Arradon, France",North-east Atlantic Ocean,74,,,5.0,,,3.0,2.0,,20.0,,,,,,,,,,15.0,,,,,3.0,10.0,,,10.0,15.0,,5.0,2.0,15.0,,,,,,,,,,,,10.0,,,,5.0,,,,,,,,,,,,,,2.0,,,,,2.0,,3.0,,,,,,,,,,,,2.0,,,,,1.0
,plage fort cigogne,North-east Atlantic Ocean,116,,,0.0,0.0,14.0,0.0,0.0,,1.0,,,,,,,,,,0.0,1.0,,,,,1.0,,,0.0,,,,0.0,0.0,,,,,,3.0,,0.0,,,1.0,0.0,1.0,0.0,3.0,,,,,,1.0,,,,3.0,1.0,,,,1.0,,0.0,1.0,,1.0,,0.0,,,,,,,,,,,,0.0,,,,,
,"European cleaning day - Saronida, Greece",Mediterranean Sea,70,Other (mixed),,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,
Portugal,Fonte da Telha,North-east Atlantic Ocean,76,Sandy,,28.0,0.0,,20.0,7.0,,0.0,,,,,,,,,,39.0,,,,,,76.0,2.0,,67.0,,,,2.0,0.0,,,,,8.0,,,,,,,109.0,,32.0,,,,,,,,,,,,,,,3.0,1.0,,28.0,,,210.0,32.0,164.0,,,,,,,,,,,,133.0,,,,,13.0
,"10 Quai Alphonse le Gallo, 92100 Boulogne-Billancourt, France",Unknown,2400,,,366.0,,,,456.0,,792.0,,,,,,,,,,162.0,,,,,,4536.0,,,792.0,,,222.0,138.0,36.0,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,126.0,,324.0,,,,,,,,,,,,120.0,,,,,4.0
Italy,Cilento Cala del Cefalo,Mediterranean Sea,99,,1.0,2.0,2.0,2.0,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,5.0,,,,,,,,,,1.0,,,,,,
,"47 Avenue de Certes, 33980 Audenge, France",North-east Atlantic Ocean,6000,,,921.0,,,32.0,54.0,,41.0,,,5.0,,,,,,,187.0,,,,,13.0,850.0,,,371.0,12.0,,25.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.0,9.0,,,,,,,406.0,,,,,,,,,,,,35.0,,,,,10.0
Spain,"LaAlmardà, Valencia/València",Mediterranean Sea,100,Sandy,4.0,4.0,,,9.0,,,3.0,,,,,,,,,,11.0,,,,,,27.0,,,24.0,,,,,7.0,,,,,,,,,,,,3.0,2.0,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,
France,Plage des bains militaires,Mediterranean Sea,21,Pebbels,,,,,8.0,,,2.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,4.0,,,,,,,,,,,,,,46.0,,,,6.0,,,,,,,,,,,,,,,,,
Spain,Playa de Burumendi,North-east Atlantic Ocean,49,Sandy,,15.0,1.0,,28.0,,7.0,7.0,,,,,1.0,,,1.0,,13.0,,,2.0,,1.0,4.0,,,,,4.0,3.0,,,,,,,,,,,,,,35.0,,1.0,1.0,2.0,5.0,,18.0,,,4.0,,,,,,,1.0,5.0,,,,,999.0,,,,,,,,,,,,,,,,,,,2.0
